,大盤,大盤變動率,大盤-7日簡單平均線,大盤-7日指數平均線,日新增案例,日新增案例變動率,日新增案例-7日簡單平均線,日新增案例-7日指數平均線,累積案例
2021/4/1,16571.2793,0.008493275,16445.85882,16445.85882,6,0.00000000,3.428571429,3.428571429,1036
2021/4/2,16611.95931,0.002451842,16489.58445,16487.38394,3,-0.55961579,3.714285714,3.321428571,1039
2021/4/3,16652.63932,0.002445845,16531.02195,16528.69779,6,0.55961579,3.571428571,3.991071429,1045
2021/4/4,16693.31934,0.002439878,16570.17132,16569.85317,2,-0.84729786,3.571428571,3.493303571,1047
2021/4/5,16733.99935,0.002433939,16607.03255,16610.88972,1,-0.40546511,3.571428571,2.869977679,1048
2021/4/6,16774.67936,0.00242803,16638.42955,16651.83713,2,0.40546511,3.714285714,2.652483259,1050
2021/4/7,16815.35938,0.002422149,16693.31934,16692.71769,0,-1.09861229,2.857142857,1.989362444,1050
2021/4/8,16926.43945,0.006584147,16744.0565,16751.14813,0,0.00000000,2,1.492021833,1050
2021/4/9,16854.09961,-0.004282937,16778.64797,16776.886,4,1.60943791,2.142857143,2.119016375,1054
2021/4/10,16855.96615,0.000110741,16807.69466,16796.65604,2,-0.51082562,1.571428571,2.089262281,1056
2021/4/11,16857.83268,0.000110728,16831.19657,16811.9502,1,-0.40546511,1.428571429,1.816946711,1057
2021/4/12,16859.69922,0.000110716,16849.15369,16823.88745,1,0.00000000,1.428571429,1.612710033,1058
2021/4/13,16824.91016,-0.002065577,16856.32952,16824.14313,4,0.91629073,1.714285714,2.209532525,1062
2021/4/14,16865.9707,0.002437489,16863.55971,16834.60002,5,0.18232156,2.428571429,2.907149394,1067
2021/4/15,17076.73047,0.012418721,16885.02985,16895.13263,1,-1.09861229,2.571428571,2.430362045,1068
2021/4/16,17158.81055,0.004795031,16928.55999,16961.05211,2,0.40546511,2.285714286,2.322771534,1070
2021/4/17,17193.63346,0.002027392,16976.79818,17019.19745,2,0.00000000,2.285714286,2.24207865,1072
2021/4/18,17228.45638,0.00202329,17029.74442,17071.51218,1,-0.40546511,2.285714286,1.931558988,1073
2021/4/19,17263.2793,0.002019204,17087.39872,17119.45396,3,0.69314718,2.571428571,2.198669241,1076
2021/4/20,17323.86914,0.003503608,17158.67857,17170.55776,2,-0.28768207,2.285714286,2.149001931,1078
2021/4/21,17202.10938,-0.007053255,17206.69838,17178.44566,4,0.51082562,2.142857143,2.611751448,1082
2021/4/22,17096.9707,-0.006130718,17209.58984,17158.07692,4,0.00000000,2.571428571,2.958813586,1086
2021/4/23,17300.26953,0.011820785,17229.79827,17193.62507,4,0.00000000,2.857142857,3.219110189,1090
2021/4/24,17390.94271,0.005227455,17257.98531,17242.95448,7,0.47000363,3.571428571,4.164332642,1097
2021/4/25,17481.61589,0.005200271,17294.15095,17302.61983,3,-0.69314718,3.857142857,3.873249482,1100
2021/4/26,17572.28906,0.005173368,17338.2952,17370.03714,4,0.22314355,4,3.904937111,1104
2021/4/27,17595.90039,0.001342766,17377.15681,17426.50295,6,0.33647224,4.571428571,4.428702833,1110
2021/4/28,17567.5293,-0.001613671,17429.35965,17461.75954,6,0.00000000,4.857142857,4.821527125,1116
2021/4/29,17566.66016,-4.95E-05,17496.45815,17487.98469,5,-0.15415068,5,4.866145344,1121
2021/4/30,17480.58252,-0.004912102,17522.21715,17486.13415,7,0.28768207,5.428571429,5.399609008,1128
2021/5/1,17394.50488,-0.00493635,17522.72603,17463.22683,4,-0.47000363,5,5.049706756,1132
2021/5/2,17308.42725,-0.004960838,17497.98479,17424.52694,5,0.18232156,5.285714286,5.037280067,1137
2021/5/3,17222.34961,-0.004985571,17447.99344,17373.9826,8,0.40546511,5.857142857,5.77796005,1145
2021/5/4,16933.7793,-0.016897534,17353.40472,17263.93178,8,0.00000000,6.142857143,6.333470038,1153
2021/5/5,16843.43945,-0.005349171,17249.96331,17158.8087,7,-0.11778304,6.285714286,6.500102528,1160
2021/5/6,16994.35938,0.008920257,17168.20605,17117.69637,13,0.55961579,7.428571429,8.125076896,1173
2021/5/7,17285,0.016957586,17140.26569,17159.52227,5,-0.84729786,7.142857143,7.343807672,1178
2021/5/8,17268.53646,-0.00095293,17122.27021,17186.77582,5,0.00000000,7.285714286,6.757855754,1183
2021/5/9,17252.07292,-0.000953838,17114.21959,17203.10009,1,-1.09861229,6.714285714,5.318391816,1184
2021/5/10,17235.60938,-0.000954749,17116.11384,17211.22741,15,2.07944154,7.714285714,7.738793862,1199
2021/5/11,16583.13086,-0.038591591,17066.02121,17054.20328,11,-0.28768207,8.142857143,8.554095396,1210
2021/5/12,15902.37012,-0.041917803,16931.58273,16766.24499,21,0.60613580,10.14285714,11.66557155,1231
2021/5/13,15670.09961,-0.014713749,16742.40276,16492.20864,25,0.16705408,11.85714286,14.99917866,1256
2021/5/14,15827.08984,0.009968606,16534.12988,16325.92894,34,0.29725152,16,19.749384,1290
2021/5/15,15669.35645,-0.010016033,16305.6756,16161.78582,185,1.67039861,41.71428571,61.062038,1475
2021/5/16,15511.62305,-0.010117369,16057.0399,15999.24513,207,0.11179141,71.14285714,97.5465285,1682
2021/5/17,15353.88965,-0.010220778,15788.2228,15837.90626,335,0.47957308,116.8571429,156.9098964,2017
2021/5/18,16145.98047,0.050302292,15725.77274,15914.92481,243,-0.31994293,150,178.4324223,2260
2021/5/19,16132.66016,-0.000825333,15758.67132,15969.35865,273,0.11595988,186,202.0743167,2533
2021/5/20,16042.36035,-0.005613053,15811.85142,15987.60907,292,0.06704450,224.1428571,224.5557375,2825
2021/5/21,16302.05957,0.016058708,15879.70424,16066.2217,314,0.07240003,264.1428571,246.9168031,3139
2021/5/22,16314.13639,0.000740542,15971.81566,16128.20037,723,0.83221875,341,365.9376024,3862
2021/5/23,16326.21322,0.000739994,16088.18569,16177.70358,460,-0.45139335,377.1428571,389.4532018,4322
2021/5/24,16338.29004,0.000739446,16228.81431,16217.8502,595,0.25684262,414.2857143,440.8399013,4917
2021/5/25,16595.66992,0.015630378,16293.05566,16312.30513,539,-0.09867153,456.5714286,465.379926,5456
2021/5/26,16643.68945,0.002889319,16366.05985,16395.15121,635,0.16362942,508.2857143,507.7849445,6091
2021/5/27,16601.60938,-0.002531492,16445.95257,16446.76575,670,0.05357057,562.2857143,548.3387084,6761
2021/5/28,16870.85938,0.016088195,16527.20968,16552.78916,554,-0.18980102,596.5714286,549.7540313,7315
2021/5/29,16936.71615,0.003895982,16616.14965,16648.7709,491,-0.12048940,563.4285714,535.0655235,7806
2021/5/30,17002.57292,0.003880862,16712.77246,16737.22141,354,-0.32636093,548.2857143,489.7991426,8160
2021/5/31,17068.42969,0.003865859,16817.07813,16820.02348,351,-0.00848661,513.4285714,455.0993569,8511
2021/6/1,17162.38086,0.005489289,16898.03683,16905.61282,331,-0.05849621,483.7142857,424.0745177,8842
2021/6/2,17165.03906,0.000154874,16972.51535,16970.46938,547,0.50114032,471.1428571,454.8058883,9389